f,fft,hht,raw,t
0.0,6.830265243505495e-18,3.4259743126154545e-17,51200.0,1.953125e-05
0.78125,0.0007765646128413352,0.0008744821519245486,-0.13091,3.90625e-05
1.5625,0.0035042685290839056,0.0015845654944068334,-0.14588,5.859375e-05
2.34375,0.0050579942359928465,0.0007542473672072228,-0.05607,7.8125e-05
3.125,0.0027563194174426635,0.0048871252478946735,0.00381,9.765625e-05
3.90625,0.0024300605410602556,0.007649390078285582,-0.10097,0.0001171875
4.6875,0.0009044483387515038,0.006988278736322419,-0.13091,0.00013671875
5.46875,0.0028857027197710656,0.00375101559818478,0.00381,0.00015625
6.25,0.002013803473574062,0.001149376325181245,-0.0411,0.00017578125
7.03125,0.004318349640479717,0.0038975467463439597,-0.01116,0.0001953125
7.8125,0.012188144583684163,0.0051093096082273195,0.00381,0.00021484375
8.59375,0.02069903290195131,0.004258850744920526,-0.0411,0.000234375
9.375,0.02211225656454743,0.00202328967088326,-0.0411,0.00025390625
10.15625,0.01202258811224131,0.0012310760890693138,-0.01116,0.0002734375
10.9375,0.0023784152251293596,0.0028778555830234294,0.09362,0.00029296875
11.71875,0.006106780770786997,0.0027050813425710096,-0.02613,0.0003125
12.5,0.007528083111347453,0.0011623930742390798,-0.07103,0.00033203125
13.28125,0.016673961518258982,0.0004906120214867304,0.06369,0.0003515625
14.0625,0.02284204649556604,0.0004751836902702717,-0.10097,0.00037109375
14.84375,0.0111837469616187,0.0012042455212464863,-0.20575,0.000390625
15.625,0.01309674402743453,0.0014252888665401164,-0.05607,0.00041015625
16.40625,0.022795484872002413,0.0011682762651807255,0.01878,0.0004296875
17.1875,0.012858319678169201,0.001187900628604599,-0.02613,0.00044921875
17.96875,0.001743883024236912,0.0008391858769967526,-0.11594,0.00046875
18.75,0.0025535775928312385,0.00021303332477093823,-0.086,0.00048828125
19.53125,0.0026751272775981847,0.0008955909987724946,0.03375,0.0005078125
20.3125,0.004168730729473471,0.0011632515391733617,0.03375,0.00052734375
21.09375,0.006346970556142837,0.0005249021060609842,0.00381,0.000546875
21.875,0.004230875372127637,0.0001387541775187438,0.03375,0.00056640625
22.65625,0.001093389609074268,0.00048777257868132706,0.00381,0.0005859375
23.4375,0.0033379199894664788,0.0013538863192039494,-0.07103,0.00060546875
24.21875,0.004620372658361134,0.001285265010232584,-0.0411,0.000625
25.0,0.005834702660983477,0.0007036365733749688,0.09362,0.00064453125
25.78125,0.004853485742908366,0.0005107672336606533,0.03375,0.0006640625
26.5625,0.0006422275603553673,0.0001944007338920792,-0.02613,0.00068359375
27.34375,0.0025438207970782385,0.00021973779008701812,0.03375,0.000703125
28.125,0.0020011240613279037,0.0004267628671107889,-0.02613,0.00072265625
28.90625,0.006027486658612709,0.000680475416856169,-0.01116,0.0007421875
29.6875,0.0034995975345439518,0.0012688352788115963,0.03375,0.00076171875
30.46875,0.004411790511079936,0.0009966462145954533,-0.0411,0.00078125
31.25,0.006349533498087692,0.00020140743056837668,-0.14588,0.00080078125
32.03125,0.0015346738237360642,0.00039499118478260824,-0.11594,0.0008203125
32.8125,0.0017377224108068158,0.0003297252606307118,0.03375,0.00083984375
33.59375,0.0007212667184420303,0.0006606611417928159,-0.02613,0.000859375
34.375,0.0028633579268884063,0.00018253967008488448,-0.10097,0.00087890625
35.15625,0.0015745584130347563,0.0006930188968738576,-0.01116,0.0008984375
35.9375,0.0006989446799496898,0.0004952395123482372,0.04872,0.00091796875
36.71875,0.0012123999327973921,0.00034609329299613794,-0.01116,0.0009375
37.5,0.0021379482504134714,0.0006984672869686665,-0.0411,0.00095703125
38.28125,0.0006023121047116004,0.0007851799482980105,-0.01116,0.0009765625
39.0625,0.0030314956823198945,0.0005369138565706734,-0.086,0.00099609375
39.84375,0.001995035256129666,0.0010059637634746818,-0.086,0.001015625
40.625,0.0006869881029671359,0.0011452623197927816,0.04872,0.00103515625
41.40625,0.0004693808972841601,0.0010285494046002263,-0.0411,0.0010546875
42.1875,0.0012114098905537266,0.0010328304367136847,-0.11594,0.00107421875
42.96875,0.00012784381304803332,0.001018784650872033,-0.01116,0.00109375
43.75,0.001925873254093323,9.669986955506163e-05,0.00381,0.00111328125
44.53125,0.0010624455541992258,0.0010788339626063217,-0.07103,0.0011328125
45.3125,0.0016695654257365957,0.0011439407038541828,-0.01116,0.00115234375
46.09375,0.002187564811455903,0.000216010058925535,0.10859,0.001171875
46.875,0.0006452964804708244,0.0004920315892717911,-0.01116,0.00119140625
47.65625,0.0003526106178697787,0.0005401027090715093,-0.05607,0.0012109375
48.4375,0.0009426963131562478,0.0005902189227144181,-0.0411,0.00123046875
49.21875,0.0022122676447422483,0.00037987412530547394,-0.07103,0.00125
50.0,0.0022406930812270834,6.17782104646267e-05,0.00381,0.00126953125
50.78125,0.0009097049395925022,0.0003039291670211921,-0.02613,0.0012890625
51.5625,0.000913496660515013,0.0004202263227115209,0.07866,0.00130859375
52.34375,0.0009801701671670407,0.00038794231080731544,0.10859,0.001328125
53.125,0.0006829178016601768,0.00021945543620729063,-0.086,0.00134765625
53.90625,0.0015722180116279946,0.00018969821165638228,0.00381,0.0013671875
54.6875,0.0016012305767280808,9.9427175803638e-05,0.06369,0.00138671875
55.46875,0.0008599604722945921,0.0004884081097499705,-0.01116,0.00140625
56.25,0.00018243664908282656,0.0005442790595580433,0.01878,0.00142578125
57.03125,0.0007865092499814145,0.00038847530084240226,0.00381,0.0014453125
57.8125,0.0012908467049031578,0.0005918307864880366,-0.07103,0.00146484375
58.59375,0.000988446673473224,0.0009723927081307811,0.03375,0.001484375
59.375,0.0014748987171738007,0.000731497305319539,0.06369,0.00150390625
60.15625,0.0016027287651576934,0.0003797991152431411,-0.07103,0.0015234375
60.9375,0.000707278329762938,0.0008475633109876155,-0.07103,0.00154296875
61.71875,0.0017012042921456586,0.0006325316467915258,-0.07103,0.0015625
62.5,0.0012761295547425295,0.0006808346231900505,-0.01116,0.00158203125
63.28125,0.0006781307840720151,0.00037897390140131877,0.06369,0.0016015625
64.0625,0.0005953577272951683,0.0004057586115729073,-0.05607,0.00162109375
64.84375,0.0011792177098522822,0.0007561443553995003,0.00381,0.001640625
65.625,0.0005751452812463278,0.0010258365502603358,0.00381,0.00166015625
66.40625,0.0007438870829596459,0.0011639880618392036,-0.02613,0.0016796875
67.1875,0.0005255396723706015,0.0008785710043097985,0.01878,0.00169921875
67.96875,0.0008659522296141942,0.0008225320348429867,0.04872,0.00171875
68.75,0.0010131284879864322,0.0006803025310639511,0.10859,0.00173828125
69.53125,0.0009908088683374748,0.0004966528775730637,-0.02613,0.0017578125
70.3125,0.0015821536630446203,0.000669600400159249,-0.07103,0.00177734375
71.09375,0.000665659025190663,0.0007752200626844904,0.01878,0.001796875
71.875,0.0005776150708963013,0.0009653627496427654,-0.11594,0.00181640625
72.65625,0.0008506206148039099,0.0011701760098881025,-0.10097,0.0018359375
73.4375,0.0011766844021974842,0.0009214215338896074,0.03375,0.00185546875
